ptVxlArySize	 100.000000	100.000000	48.000000
vxlVoxel	480000
m_isoIsoUParaBtoT	119	
0.421076	-1.978947	-0.164051
0.463182	-1.978947	-0.164051
0.505288	-1.978947	-0.206156
0.547393	-1.978947	-0.206156
0.589499	-1.978947	-0.248262
0.631605	-1.978947	-0.248262
0.673710	-1.978947	-0.290368
0.715816	-1.978947	-0.290368
0.757922	-1.978947	-0.290368
0.757922	-1.978947	-0.332473
0.800027	-1.978947	-0.332473
0.842133	-1.978947	-0.374579
0.884239	-1.978947	-0.374579
0.926344	-1.978947	-0.374579
0.926344	-1.978947	-0.416685
0.968450	-1.978947	-0.416685
1.010556	-1.978947	-0.416685
1.010556	-1.978947	-0.458790
1.052661	-1.978947	-0.458790
1.094767	-1.978947	-0.458790
1.094767	-1.978947	-0.500896
1.136873	-1.978947	-0.500896
1.178978	-1.978947	-0.500896
1.221084	-1.978947	-0.543002
1.263190	-1.978947	-0.543002
1.305295	-1.978947	-0.585107
1.347401	-1.978947	-0.585107
1.389507	-1.978947	-0.585107
1.389507	-1.978947	-0.627213
1.431613	-1.978947	-0.627213
1.473718	-1.978947	-0.669319
1.515824	-1.978947	-0.669319
1.557930	-1.978947	-0.669319
1.557930	-1.978947	-0.711424
1.600035	-1.978947	-0.711424
1.642141	-1.978947	-0.711424
1.642141	-1.978947	-0.753530
1.684247	-1.978947	-0.753530
1.726352	-1.978947	-0.753530
1.726352	-1.978947	-0.795636
1.768458	-1.978947	-0.795636
1.810564	-1.978947	-0.795636
1.810564	-1.978947	-0.837741
1.852669	-1.978947	-0.837741
1.894775	-1.978947	-0.837741
1.936881	-1.978947	-0.879847
1.978986	-1.978947	-0.879847

m_isoIsoVParaLtoR	119	
-1.978947	-1.978947	0.972803
-1.978947	-1.936841	0.972803
-1.978947	-1.936841	0.930697
-1.978947	-1.894736	0.930697
-1.978947	-1.852630	0.930697
-1.978947	-1.852630	0.888591
-1.978947	-1.810524	0.888591
-1.978947	-1.768419	0.888591
-1.978947	-1.768419	0.846486
-1.978947	-1.726313	0.846486
-1.978947	-1.684207	0.846486
-1.978947	-1.642102	0.804380
-1.978947	-1.599996	0.804380
-1.978947	-1.599996	0.762274
-1.978947	-1.557890	0.762274
-1.978947	-1.515785	0.762274
-1.978947	-1.473679	0.720168
-1.978947	-1.431573	0.720168
-1.978947	-1.389468	0.720168
-1.978947	-1.389468	0.678063
-1.978947	-1.347362	0.678063
-1.978947	-1.305256	0.678063
-1.978947	-1.305256	0.635957
-1.978947	-1.263151	0.635957
-1.978947	-1.221045	0.635957
-1.978947	-1.221045	0.593851
-1.978947	-1.178939	0.593851
-1.978947	-1.136834	0.593851
-1.978947	-1.136834	0.551746
-1.978947	-1.094728	0.551746
-1.978947	-1.052622	0.551746
-1.978947	-1.010517	0.509640
-1.978947	-0.968411	0.509640
-1.978947	-0.968411	0.467534
-1.978947	-0.926305	0.467534
-1.978947	-0.884200	0.467534
-1.978947	-0.842094	0.425429
-1.978947	-0.799988	0.425429
-1.978947	-0.757883	0.383323
-1.978947	-0.715777	0.383323
-1.978947	-0.673671	0.341217
-1.978947	-0.631566	0.341217
-1.978947	-0.589460	0.341217
-1.978947	-0.589460	0.299112
-1.978947	-0.547354	0.299112
-1.978947	-0.505249	0.299112
-1.978947	-0.505249	0.257006
-1.978947	-0.463143	0.257006
-1.978947	-0.421037	0.257006
-1.978947	-0.378932	0.214900
-1.978947	-0.336826	0.214900
-1.978947	-0.336826	0.172795
-1.978947	-0.294720	0.172795
-1.978947	-0.252614	0.172795
-1.978947	-0.210509	0.130689
-1.978947	-0.168403	0.130689
-1.978947	-0.126297	0.088583
-1.978947	-0.084192	0.088583
-1.978947	-0.042086	0.046478
-1.978947	0.000020	0.046478
-1.978947	0.042125	0.004372
-1.978947	0.084231	0.004372
-1.978947	0.126337	0.004372
-1.978947	0.126337	-0.037734
-1.978947	0.168442	-0.037734
-1.978947	0.210548	-0.037734
-1.978947	0.210548	-0.079839
-1.978947	0.252654	-0.079839
-1.978947	0.294759	-0.079839
-1.978947	0.294759	-0.121945
-1.978947	0.336865	-0.121945
-1.978947	0.378971	-0.121945
-1.978947	0.421076	-0.164051
-1.978947	0.463182	-0.164051
-1.978947	0.505288	-0.206156
-1.978947	0.547393	-0.206156
-1.978947	0.589499	-0.248262
-1.978947	0.631605	-0.248262
-1.978947	0.673710	-0.290368
-1.978947	0.715816	-0.290368
-1.978947	0.757922	-0.290368
-1.978947	0.757922	-0.332473
-1.978947	0.800027	-0.332473
-1.978947	0.842133	-0.374579
-1.978947	0.884239	-0.374579
-1.978947	0.926344	-0.374579
-1.978947	0.926344	-0.416685
-1.978947	0.968450	-0.416685
-1.978947	1.010556	-0.416685
-1.978947	1.010556	-0.458790
-1.978947	1.052661	-0.458790
