ptVxlArySize	 201.000000	201.000000	99.000000
vxlVoxel	3999699
m_isoIsoUParaBtoT	246	
-1.989796	1.989812	-0.950096
-1.969388	1.989812	-0.950096
-1.948979	1.989812	-0.929688
-1.928571	1.989812	-0.929688
-1.908163	1.989812	-0.929688
-1.908163	1.989812	-0.909279
-1.887755	1.989812	-0.909279
-1.867346	1.989812	-0.888871
-1.846938	1.989812	-0.888871
-1.826530	1.989812	-0.888871
-1.826530	1.989812	-0.868463
-1.806122	1.989812	-0.868463
-1.785713	1.989812	-0.868463
-1.785713	1.989812	-0.848055
-1.765305	1.989812	-0.848055
-1.744897	1.989812	-0.848055
-1.744897	1.989812	-0.827646
-1.724489	1.989812	-0.827646
-1.704080	1.989812	-0.827646
-1.704080	1.989812	-0.807238
-1.683672	1.989812	-0.807238
-1.663264	1.989812	-0.807238
-1.642856	1.989812	-0.786830
-1.622447	1.989812	-0.786830
-1.622447	1.989812	-0.766422
-1.602039	1.989812	-0.766422
-1.581631	1.989812	-0.766422
-1.561223	1.989812	-0.746013
-1.540814	1.989812	-0.746013
-1.520406	1.989812	-0.746013
-1.520406	1.989812	-0.725605
-1.499998	1.989812	-0.725605
-1.479590	1.989812	-0.705197
-1.459182	1.989812	-0.705197
-1.438773	1.989812	-0.705197
-1.438773	1.989812	-0.684789
-1.418365	1.989812	-0.684789
-1.397957	1.989812	-0.684789
-1.397957	1.989812	-0.664380
-1.377549	1.989812	-0.664380
-1.357140	1.989812	-0.664380
-1.357140	1.989812	-0.643972
-1.336732	1.989812	-0.643972
-1.316324	1.989812	-0.643972
-1.316324	1.989812	-0.623564
-1.295916	1.989812	-0.623564
-1.275507	1.989812	-0.623564
-1.255099	1.989812	-0.603156
-1.234691	1.989812	-0.603156
-1.234691	1.989812	-0.582747
-1.214283	1.989812	-0.582747
-1.193874	1.989812	-0.582747
-1.173466	1.989812	-0.562339
-1.153058	1.989812	-0.562339
-1.132650	1.989812	-0.541931
-1.112241	1.989812	-0.541931
